X,Y,FID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,PHONE,SEAT_CAP,RISK,RECORD_ID,FACILITY_N,CHAIN_NAME,CHAIN_ESTA,SITE_ADDRE,NEAR_FID,NEAR_DIST
-122.345632110641645,47.613783659075295,1,350001,0000000,350,A'Jhang Market,A'Jhang Market,2237 2ND AVE,98121,Seattle,(206) 228-5238,Grocery,I, , , , ," 
",-1,-1
-122.271187209493476,47.54056463945021,2,350002,0000000,350,A-Chau Cafe,A-Chau Cafe,6902 RAINIER AVE S,98118,Seattle, ,Seating 13-50,III, , , , ," 
",-1,-1
-122.376319540102784,47.517727108912972,3,350003,0000000,350,A-Pizza Mart,A-Pizza Mart,9452 35TH AVE SW,98126,Seattle,(206) 932-5350,Seating 0-12,III, , , , ," 
",-1,-1
-122.324098729602468,47.597636549103797,4,350005,0000000,350,"A & B Cafe; Inc.","A & B Cafe; Inc.",670 S WELLER ST,98104,Seattle,(206) 725-5383,Seating 13-50,III, , , , ," 
",176,2454.73743513
-122.35734890043345,47.639692678638234,5,350007,0000000,350,A & J Meats & Seafood,A & J Meats & Seafood,2401 QUEEN ANNE AVE N,98109,Seattle,(206) 284-3885,Meat/Sea Food,III, , , , ," 
",-1,-1
-122.311897160157201,47.714150199157693,6,350143,0000000,350,Ahadu,Ahadu,1508 NE 117TH ST,98125,Seattle,(206) 367-3998,Seating 13-50,III, , , , ," 
",-1,-1
-122.314396179608011,47.547467288885663,7,350148,0000000,350,Airport Way Market,Airport Way Market,6249 AIRPORT WAY S,98108,Seattle,(206) 767-7296,Seating 0-12,III, , , , ," 
",-1,-1
-122.28198033051703,47.546321829018737,8,350153,0000000,350,Aki Kurose,Aki Kurose,3928 S GRAHAM ST,98118,Seattle, ,School Kitchen, , , , , ," 
",-1,-1
-122.332334869416755,47.598453329465144,9,350154,0000000,350,Al'S Gourment Sausages @  1029 Occidental,Al'S Gourmet Sausages,170 KING ST,98104,Seattle, ,Mobile Food Service,I, , , , ," 
",223,3867.60371614
-122.333300000442193,47.593889999451221,10,350155,0000000,350,Al'S Gourmet - Dteh034 / 1029 Occidental,Al'S Gourmet Sausage Dteh - 034,170 KING ST,98104,Seattle,(206) 551-2399,Mobile Food Service,III, , , , ," 
",-1,-1
-122.332334869416755,47.598453329465144,11,350156,0000000,350,Al'S Gourmet Sausge @  1029 Occidental,Al'S Gourmet Sausage #5,170 KING ST,98104,Seattle, ,Mobile Food Service,I, , , , ," 
",223,3867.60371614
-122.331140190538221,47.661184339255342,12,350157,0000000,350,Al'S Tavern,Al'S Tavern,2303 N 45TH ST,98103,Seattle,(206) 545-9959,Seating 13-50,II, , , , ," 
",-1,-1
-122.276269349479634,47.545887229403377,13,350159,0000000,350,Al-Noor Grocery & Halal Meat,Al-Noor Grocery & Halal Meat,6301 RAINIER AVE S,98118,Seattle,(206) 721-9850,Seating 0-12,III, , , , ," 
",-1,-1
-122.335735230002783,47.60156901872098,14,350160,0000000,350,Al Boccalino,Al Boccalino,1 YESLER WAY,98104,Seattle,(206) 622-7688,Seating 13-50,III, , , , ," 
",223,3514.71634532
-122.313446080493435,47.66244058916822,15,350163,0000000,350,Aladdin Falafel Corner,Aladdin Falafel Corner,4541 UNIVERSITY WAY NE,98105,Seattle,(206) 548-9539,Seating 0-12,III, , , , ," 
",-1,-1
-122.313468580626008,47.658056979079689,16,350164,0000000,350,Aladdin Gyro-Cery & Deli,Aladdin Gyro-Cery & Deli,4139 UNIVERSITY WAY NE,98105,Seattle,(206) 228-3087,Seating 13-50,III, , , , ," 
",-1,-1
-122.324604769745818,47.708438228831945,17,350168,0000000,350,Alaska Smokehouse,Alaska Smokehouse,401 NE NORTHGATE MALL STE 310,98125,Seattle,(360) 668-9404,Grocery,I, , , , ," 
",-1,-1
-122.345697040101712,47.617365178992955,18,350386,0000000,350,Artisan Cafe,Artisan Cafe,2523 5th AVE,98121,Seattle,(206) 764-4557,Seating 13-50,III, , , , ," 
",-1,-1
-122.387188820507831,47.560710328796638,19,350388,0000000,350,Arts West Playhouse,Arts West Playhouse,4711 CALIFORNIA AVE SW,98116,Seattle,(206) 938-0963,Seating 0-12,I, , , , ," 
",-1,-1
-122.312083139491492,47.564132718997882,20,350390,0000000,350,Asa Mercer Middle School,Asa Mercer Middle School,1600 S COLUMBIAN WAY,98108,Seattle, ,School Kitchen, , , , , ," 
",-1,-1
-122.342295000247148,47.6482789988683,21,350392,0000000,350,Asgard Tavern,Asgard Tavern,1300 N NORTHLAKE WAY #300,98103,Seattle,(206) 953-1315,Seating 13-50,I, , , , ," 
",-1,-1
